"Modelo","Clasificación Energética","Consumo Mínimo","Consumo Máximo","Emisiones Mínimo","Emisiones Máximo"
"Peugeot 308 308 5p Allure PureTech 110 S&S 6 Vel. MAN","","5.9","7.0","133.0","158.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","5.8","6.8","130.0","154.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","5.3","6.5","119.0","147.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S 6 Vel. MAN","","5.4","6.7","123.0","151.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","5.8","6.9","131.0","155.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","5.8","6.8","131.0","153.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","5.6","6.7","127.0","151.0"
"Peugeot 308 308 5p Allure PureTech 130 S&S EAT8","","5.8","6.9","131.0","155.0"
"Peugeot 308 308 5P Business Line BlueHDi 100 S&s 6 Vel. MAN","","4.4","5.1","116.0","135.0"
"Peugeot 308 308 5P Business Line BlueHDi 100 S&s 6 Vel. MAN","","4.4","5.1","115.0","135.0"
"Peugeot 308 308 5p Business Line BlueHDi 130 S&S 6vel MAN","","4.5","5.3","118.0","139.0"
"Peugeot 308 308 5p Business Line BlueHDi 130 S&S 6vel MAN","","4.5","5.3","117.0","138.0"
"Peugeot 308 308 5P Business Line PureTech 110 S&S 6 vel MAN","","5.9","7.0","133.0","158.0"
"Peugeot 308 308 5P Business Line PureTech 110 S&S 6 vel MAN","","5.5","6.6","124.0","149.0"
"Peugeot 308 308 5P GT BlueHDi 130 S&S  EAT8","","4.6","5.4","119.0","142.0"
"Peugeot 308 308 5p GT BlueHDI 130 S&S 6 Vel. MAN","","4.3","5.3","113.0","138.0"
"Peugeot 308 308 5P GT BlueHDi 130 S&S EAT8","","4.6","5.4","119.0","142.0"
"Peugeot 308 308 5p GT BlueHDI 130 S&S EAT8","","4.4","5.3","115.0","139.0"
"Peugeot 308 308 5P GT BlueHDi 180 S&S EAT8","","5.4","6.3","141.0","165.0"
"Peugeot 308 308 5P GT Line BlueHDi 130 S&S 6 Vel. MAN","","4.5","5.3","118.0","139.0"
"Peugeot 308 308 5P GT Line BlueHDi 130 S&S 6 Vel. MAN","","4.5","5.3","118.0","139.0"
"Peugeot 308 308 5P GT Line PureTech 130 S&S 6 Vel. MAN","","5.8","6.8","130.0","154.0"
